nome,link,scontato,prezzo,genere,categoria,mat1,mat2,colore1,colore2,id_prodotto,differenza_prezzo
Espadrillas donna in tessuto giallo 018206z,https://www.melluso.com/it/espadrillas-donna-in-tessuto-giallo-018206z-018206z-244312.html,63.92,79.9,Donna,Dècolletè,tessut,,giallo,,018206z,15.980000000000004
Décolleté donna slingback in pelle argento d192,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-argento-d192-d192-245557.html,134.91,149.9,Donna,Dècolletè,pelle,,argento,,d192,14.990000000000009
Espadrillas donna in tessuto rosso 018206z,https://www.melluso.com/it/espadrillas-donna-in-tessuto-rosso-018206z-018206z-253167.html,63.92,79.9,Donna,Dècolletè,tessut,,rosso,,018206z,15.980000000000004
Espadrillas donna in tessuto blu 018206z,https://www.melluso.com/it/espadrillas-donna-in-tessuto-blu-018206z-018206z-253168.html,63.92,79.9,Donna,Dècolletè,tessut,,blu,,018206z,15.980000000000004
Espadrillas donna in tessuto carne 018206z,https://www.melluso.com/it/espadrillas-donna-in-tessuto-carne-018206z-018206z-253177.html,63.92,79.9,Donna,Dècolletè,tessut,,,,018206z,15.980000000000004
Décolleté donna slingback in pelle milk d193,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-milk-d193-d193-245140.html,134.91,149.9,Donna,Dècolletè,pelle,,,,d193,14.990000000000009
Décolleté donna in pelle nude e1301z,https://www.melluso.com/it/decollete-donna-in-pelle-nude-e1301z-e1301z-249089.html,134.91,149.9,Donna,Dècolletè,pelle,,nude,,e1301z,14.990000000000009
Décolleté donna in camoscio blu abyss x516z,https://www.melluso.com/it/decollete-donna-in-camoscio-blu-abyss-x516z-x516z-243866.html,125.91,139.9,Donna,Dècolletè,camoscio,,blu,,x516z,13.990000000000009
Décolleté donna in camoscio platino x516z,https://www.melluso.com/it/decollete-donna-in-camoscio-platino-x516z-x516z-246739.html,125.91,139.9,Donna,Dècolletè,camoscio,,platino,,x516z,13.990000000000009
Décolleté donna cinturino incrociato in tessuto rosa e1631zv,https://www.melluso.com/it/decollete-donna-cinturino-incrociato-in-tessuto-rosa-e1631zv-e1631zv-253831.html,143.91,159.9,Donna,Dècolletè,tessut,,rosa,,e1631zv,15.990000000000009
Décolleté donna slingback in pelle bianco d168zv,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-bianco-d168zv-d168zv-249127.html,,149.9,Donna,Dècolletè,pelle,,bianco,,d168zv,
Décolleté donna in tessuto galassia platino x517z,https://www.melluso.com/it/decollete-donna-in-tessuto-galassia-platino-x517z-x517z-245915.html,116.91,129.9,Donna,Dècolletè,tessut,,platino,,x517z,12.990000000000009
Décolleté donna con cinturino in pelle nero v229,https://www.melluso.com/it/decollete-donna-con-cinturino-in-pelle-nero-v229-v229-243971.html,125.91,139.9,Donna,Dècolletè,pelle,,nero,,v229,13.990000000000009
Décolleté donna cinturino incrociato in pelle blu abyss e1631zv,https://www.melluso.com/it/decollete-donna-cinturino-incrociato-in-pelle-blu-abyss-e1631zv-e1631zv-247201.html,143.91,159.9,Donna,Dècolletè,pelle,,blu,,e1631zv,15.990000000000009
