genere_categoria,nome_categoria,nome,prezzo_originale,prezzo_scontato,immagine,link,colore1,colore2,categoria,sottocategoria
donna,zeppe,Sandali con zeppa da donna verde con elastico,69.9,55.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699322_2_67e9.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699322001.html,verde,,sandali,zeppa
donna,zeppe,Sandali con zeppa da donna nero con elastico,69.9,55.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699300_2_4a7b.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699300001.html,nero,,sandali,zeppa
donna,zeppe,Sandali con zeppa da donna rosso con strap,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699233_2_dcba.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699233001.html,rosso,,sandali,zeppa
donna,zeppe,Sandali con zeppa da donna marrone e beige con strap,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699222_2_6b94.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699222001.html,beige,marrone,sandali,zeppa
donna,zeppe,Sandali con zeppa da donna bianco con strap,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699211_2_8559.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699211001.html,bianco,,sandali,zeppa
donna,zeppe,Sandali con zeppa da donna marrone e beige con strap,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699122_2_089a.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699122001.html,beige,marrone,sandali,zeppa
donna,zeppe,Sandali con zeppa da donna bianco con strap,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699111_2_1896.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699111001.html,bianco,,sandali,zeppa
donna,zeppe,Sandali con zeppa da donna nero con strap,79.9,63.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699100_2_f40c.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699100001.html,nero,,sandali,zeppa
donna,zeppe,Sandali con zeppa da donna marrone ,69.9,55.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699033_2_10b8.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699033001.html,marrone,,sandali,zeppa
donna,zeppe,Sandali con zeppa da donna bianco ,69.9,55.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699011_2_e5cc.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699011001.html,bianco,,sandali,zeppa
donna,zeppe,Sandali con zeppa da donna nero ,69.9,55.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517699000_2_83ca.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517699000001.html,nero,,sandali,zeppa
donna,zeppe,Sandali con zeppa da donna platino e nero con fibbia,64.9,51.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517698522_2_3026.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517698522001.html,platino,nero,sandali,zeppa
donna,zeppe,Sandali con zeppa da donna rosso e bianco con fibbia,64.9,51.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517698511_2_de8f.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517698511001.html,bianco,rosso,sandali,zeppa
donna,zeppe,Sandali con zeppa da donna nero e beige con fibbia,64.9,51.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517698500_2_25ea.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517698500001.html,beige,nero,sandali,zeppa
donna,zeppe,Sandali da donna verde e arancio con strap,64.9,51.92,https://www.igieco.it/shop/media/catalog/product/2/0/202517698433_2_d9ee.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517698433001.html,verde,arancio,sandali,
