genere,nome_categoria,prodotto,prezzo_originale,prezzo_scontato,immagine,link,colore,colore2,categoria,sottocategoria,brand,materiale,materiale2,colore1,id_prodotto,differenza_prezzo,codice_colore
donna,sneakers,Slip on calzino da donna blu con elastico,69.9,48.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658611_2_80af.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658611001.html,blu,,slip on,,Igi&co,,,,,,
donna,sneakers,Ballerine da donna nero con elastico,69.9,48.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658555_2_7263.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658555001.html,nero,,ballerine,,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna rosa con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517664044_2_dae7.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517664044001.html,rosa,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna grigio con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517664033_2_3e02.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517664033001.html,grigio,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna beige con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517664022_2_0627.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517664022001.html,beige,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna celeste con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517664011_2_694e.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517664011001.html,celeste,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco e celeste con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517663822_2_970e.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517663822001.html,celeste,bianco,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna beige con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517663811_2_9fdd.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517663811001.html,beige,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna platino con lacci,94.9,66.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517663711_2_ef49.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517663711001.html,platino,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco con lacci,94.9,66.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517663700_2_4c43.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517663700001.html,bianco,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers eco-sostenibili da donna bianco con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517662633_2_45c2.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517662633001.html,bianco,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers eco-sostenibili da donna nero con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517662600_2_e4d0.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517662600001.html,nero,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco e argento con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517662522_2_e8a1.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517662522001.html,bianco,argento,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna beige con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517662511_2_7ef7.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517662511001.html,beige,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco e argento con zip,94.9,66.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517661711_2_dd65.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661711001.html,bianco,argento,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna blu con zip,94.9,66.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517661700_2_e64c.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661700001.html,blu,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco e rosa con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517661622_2_d78e.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661622001.html,rosa,bianco,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco e nero con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517661611_2_8ca3.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661611001.html,bianco,nero,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco e argento con lacci,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517661433_2_0c91.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661433001.html,bianco,argento,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco e platino con lacci,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517661422_2_77a0.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661422001.html,platino,bianco,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna argento e bianco con zip,94.9,66.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517661322_2_7767.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661322001.html,bianco,argento,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna platino e bianco con zip,94.9,66.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517661311_2_92ab.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661311001.html,platino,bianco,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers eco-sostenibili da donna bianco e rosa con lacci,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660822_2_c022.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660822001.html,rosa,bianco,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers eco-sostenibili da donna beige e arancio con lacci,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660811_2_21c8.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660811001.html,beige,arancio,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers eco-sostenibili da donna giallo e celeste con lacci,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660800_2_7f4f.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660800001.html,giallo,celeste,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna argento e bianco con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660744_2_b476.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660744001.html,bianco,argento,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna beige con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660722_2_5be9.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660722001.html,beige,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna blu e celeste con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660711_2_3c27.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660711001.html,celeste,blu,sneakers,,Igi&co,,,,,,
donna,sneakers,Slip on da donna argento e bianco con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660644_2_ed1f.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660644001.html,bianco,argento,slip on,,Igi&co,,,,,,
donna,sneakers,Slip on da donna platino e beige con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660633_2_0a70.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660633001.html,beige,platino,slip on,,Igi&co,,,,,,
donna,sneakers,Slip on da donna beige con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660622_2_3b37.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660622001.html,beige,,slip on,,Igi&co,,,,,,
donna,sneakers,Slip on da donna blu con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660611_2_29b8.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660611001.html,blu,,slip on,,Igi&co,,,,,,
donna,sneakers,Slip on da donna bianco con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660600_2_ea5b.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660600001.html,bianco,,slip on,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna beige con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660522_2_5845.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660522001.html,beige,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna nero con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660500_2_58ef.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660500001.html,nero,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco e nero con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517659511_2_8743.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517659511001.html,bianco,nero,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna beige con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517659500_2_7df8.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517659500001.html,beige,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna argento e celeste con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517659433_2_8b5f.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517659433001.html,celeste,argento,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna rosa e beige con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517659422_2_6fc8.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517659422001.html,beige,rosa,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco e beige con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517659411_2_923e.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517659411001.html,beige,bianco,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco e giallo con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517659400_2_ed3b.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517659400001.html,giallo,bianco,sneakers,,Igi&co,,,,,,
donna,sneakers,Slip on da donna beige con elastico,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517659311_2_9266.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517659311001.html,beige,,slip on,,Igi&co,,,,,,
donna,sneakers,Slip on da donna bianco e beige con elastico,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517659300_2_3c22.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517659300001.html,beige,bianco,slip on,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517659222_2_60d8.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517659222001.html,bianco,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna beige con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517659211_2_a9f0.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517659211001.html,beige,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658755_2_64c8.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658755001.html,bianco,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna rosa con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658744_2_e9bb.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658744001.html,rosa,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna beige con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658733_2_2d53.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658733001.html,beige,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna celeste con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658722_2_d6be.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658722001.html,celeste,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna blu con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658711_2_8705.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658711001.html,blu,,sneakers,,Igi&co,,,,,,
donna,sneakers,Slip on calzino da donna bianco con elastico,69.9,48.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658655_2_ce6c.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658655001.html,bianco,,slip on,,Igi&co,,,,,,
donna,sneakers,Slip on calzino da donna rosa con elastico,69.9,48.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658644_2_1def.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658644001.html,rosa,,slip on,,Igi&co,,,,,,
donna,sneakers,Slip on calzino da donna celeste con elastico,69.9,48.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658622_2_ad5c.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658622001.html,celeste,,slip on,,Igi&co,,,,,,
donna,sneakers,Slip on calzino da donna nero con elastico,69.9,48.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658600_2_c71c.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658600001.html,nero,,slip on,,Igi&co,,,,,,
donna,sneakers,Ballerine da donna bianco con elastico,69.9,48.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658544_2_8347.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658544001.html,bianco,,ballerine,,Igi&co,,,,,,
donna,sneakers,Ballerine da donna rosa con elastico,69.9,48.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658533_2_1f4e.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658533001.html,rosa,,ballerine,,Igi&co,,,,,,
donna,sneakers,Ballerine da donna beige con elastico,69.9,48.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658522_2_f006.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658522001.html,beige,,ballerine,,Igi&co,,,,,,
donna,sneakers,Ballerine da donna celeste con elastico,69.9,48.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517658500_2_69f1.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517658500001.html,celeste,,ballerine,,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517657433_2_655a.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517657433001.html,bianco,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna rosa con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517657422_2_edd6.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517657422001.html,rosa,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna bianco e argento con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517657300_2_5323.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517657300001.html,bianco,argento,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna beige con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517657233_2_308f.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517657233001.html,beige,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers con zeppa da donna platino con lacci,94.9,66.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517657200_2_3307.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517657200001.html,platino,,sneakers,zeppa,Igi&co,,,,,,
donna,sneakers,Sneakers da donna blu con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517656511_2_d6b1.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517656511001.html,blu,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna beige e bianco con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517656466_2_94a0.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517656466001.html,beige,bianco,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna beige e rosa con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517656444_2_4277.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517656444001.html,beige,rosa,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco e giallo con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517656433_2_ca31.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517656433001.html,giallo,bianco,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna argento e bianco con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517656422_2_2273.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517656422001.html,bianco,argento,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna platino e beige con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517656411_2_3162.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517656411001.html,beige,platino,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna blu con zip,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517656400_2_c2c6.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517656400001.html,blu,,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco e beige con lacci,84.9,59.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517656311_2_0942.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517656311001.html,beige,bianco,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco e blu con lacci,84.9,59.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517656300_2_bf6b.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517656300001.html,bianco,blu,sneakers,,Igi&co,,,,,,
donna,sneakers,Sneakers da donna bianco con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517656222_2_68b1.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517656222001.html,bianco,,sneakers,,Igi&co,,,,,,
