titolo,prezzo_originale,prezzo_scontato,immagine,link,colore_codice,categoria,genere
Sneakers Donna in Suede e Pelle,"90,50 €","129,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513005D_514_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-suede-e-pelle-25p-e513005d,15,sneakers,donna
Sneakers Donna in Pelle e Suede,"101,50 €","145,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513041D_707_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-e-suede-25p-e513041d,15,sneakers,donna
"Sneakers Donna in Suede, Tela e Materiale Tecnico","101,50 €","145,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513102D_677_02_jpg.webp,https://nerogiardini.it/it/25p-e513102d,15,sneakers,donna
Sneakers Donna in Pelle,"104,50 €","149,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E306371D_707_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-25p-e306371d,18,sneakers,donna
Sneakers Donna in Pelle,"97,50 €","139,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E306521D_707_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-25p-e306521d,18,sneakers,donna
Sneakers Donna in Pelle,"119,50 €","149,50 € (20%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E409913D_707_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-25p-e409913d,18,sneakers,donna
Sneakers Donna in Pelle,"104,50 €","149,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E409915D_707_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-25p-e409915d,18,sneakers,donna
Sneakers Donna in Pelle e Materiale Tecnico,"101,50 €","145,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E409919D_707_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-e-materiale-tecnico-25p-e409919d,18,sneakers,donna
Sneakers Donna in Pelle,"111,50 €","159,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E409975D_707_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-25p-e409975d,18,sneakers,donna
Snekares Donna in Pelle,"97,50 €","139,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512851D_707_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-25p-e512851d,18,sneakers,donna
"Sneakers Donna in Pelle, Tela e Materiale Tecnico","111,50 €","159,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512862D_707_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-tela-e-materiale-tecnico-25p-e512862d,18,sneakers,donna
