genere_categoria,nome_categoria,nome,prezzo_originale,prezzo_scontato,immagine,link
Donna,Dècolletè,Décolleté donna slingback in pelle nude d168zv,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D168ZV-247448-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-nude-d168zv-d168zv-247448.html
Donna,Dècolletè,Décolleté donna slingback in pelle nero d168zv,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D168ZV-247210-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-nero-d168zv-d168zv-247210.html
Donna,Dècolletè,Décolleté donna slingback in pelle platino d168zv,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D168ZV-247227-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-platino-d168zv-d168zv-247227.html
Donna,Dècolletè,Décolleté donna slingback in pelle blu abyss d168zv,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D168ZV-247473-0000_3.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-blu-abyss-d168zv-d168zv-247473.html
Donna,Dècolletè,Décolleté donna slingback in tessuto platino d168zv,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D168ZV-247225-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-tessuto-platino-d168zv-d168zv-247225.html
Donna,Dècolletè,Décolleté donna in tessuto platino e1301z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1301Z-244064-0000.jpg,https://www.melluso.com/it/decollete-donna-in-tessuto-platino-e1301z-e1301z-244064.html
Donna,Dècolletè,Décolleté donna in tessuto argento e1301z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1301Z-246672-0000.jpg,https://www.melluso.com/it/decollete-donna-in-tessuto-argento-e1301z-e1301z-246672.html
Donna,Dècolletè,Décolleté donna in tessuto blu notte e1301z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1301Z-244997-0000.jpg,https://www.melluso.com/it/decollete-donna-in-tessuto-blu-notte-e1301z-e1301z-244997.html
Donna,Dècolletè,Décolleté slingback donna in pelle nero e1301z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1301Z-247461-0000.jpg,https://www.melluso.com/it/decollete-slingback-donna-in-pelle-nero-e1301z-e1301z-247461.html
Donna,Dècolletè,Décolleté donna cinturino incrociato in tessuto pelle nude e1631zv,"159,90 €","143,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1631ZV-247200-0000.jpg,https://www.melluso.com/it/decollete-donna-cinturino-incrociato-in-tessuto-pelle-nude-e1631zv-e1631zv-247200.html
Donna,Dècolletè,Décolleté donna cinturino incrociato in pelle nero e1631zv,"159,90 €","143,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1631ZV-247199-0000.jpg,https://www.melluso.com/it/decollete-donna-cinturino-incrociato-in-pelle-nero-e1631zv-e1631zv-247199.html
Donna,Dècolletè,Décolleté donna cinturino incrociato in tessuto galassia argento e1631zv,"159,90 €","143,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1631ZV-247202-0000.jpg,https://www.melluso.com/it/decollete-donna-cinturino-incrociato-in-tessuto-galassia-argento-e1631zv-e1631zv-247202.html
Donna,Dècolletè,Décolleté donna in pelle blu abyss d175z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D175Z-243777-0000.jpg,https://www.melluso.com/it/decollete-donna-in-pelle-blu-abyss-d179z-d175z-243777.html
Donna,Dècolletè,Décolleté donna slingback in pelle nero d179z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D179Z-245514-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-nero-d179z-d179z-245514.html
Donna,Dècolletè,Décolleté donna in pelle beige kiss d175z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D175Z-243776-0000.jpg,https://www.melluso.com/it/decollete-donna-in-pelle-beige-kiss-d179z-d175z-243776.html
Donna,Dècolletè,Décolleté donna cinturino incrociato in tessuto pelle wash platino e1631zv,"169,90 €","152,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1631ZV-247752-0000.jpg,https://www.melluso.com/it/decollete-donna-cinturino-incrociato-in-tessuto-pelle-wash-platino-e1631zv-e1631zv-247752.html
Donna,Dècolletè,Décolleté donna slingback in pelle rosa contour e1634zv,"169,90 €","152,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1634ZV-247703-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-rosa-contour-e1634zv-e1634zv-247703.html
Donna,Dècolletè,Décolleté donna slingback in pelle blu abyss e1634zv,"159,90 €","143,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1634ZV-247187-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-blu-abyss-e1634zv-e1634zv-247187.html
Donna,Dècolletè,Décolleté donna slingback in tessuto galassia platino e1634zv,"159,90 €","143,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1634ZV-247193-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-tessuto-galassia-platino-e1634zv-e1634zv-247193.html
Donna,Dècolletè,Décolleté donna slingback in pelle wash argento e1634zv,"169,90 €","152,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1634ZV-247197-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-wash-argento-e1634zv-e1634zv-247197.html
Donna,Dècolletè,Décolleté donna slingback in pelle platino e1634zv,"169,90 €","152,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1634ZV-247198-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-platino-e1634zv-e1634zv-247198.html
Donna,Dècolletè,Décolleté donna slingback in pelle nero e1634zv,"159,90 €","143,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1634ZV-247188-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-nero-e1634zv-e1634zv-247188.html
Donna,Dècolletè,Décolleté donna slingback in tessuto galassia notte e1634zv,"159,90 €","143,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1634ZV-247195-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-tessuto-galassia-notte-e1634zv-e1634zv-247195.html
Donna,Dècolletè,Décolleté donna slingback in tessuto galassia rosa e1634zv,"159,90 €","143,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1634ZV-247196-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-tessuto-galassia-rosa-e1634zv-e1634zv-247196.html
Donna,Dècolletè,Décolleté donna slingback in pelle nude e1634zv,"159,90 €","143,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1634ZV-247404-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-nude-e1634zv-e1634zv-247404.html
Donna,Dècolletè,Décolleté donna slingback in pelle bianco e1634zv,"159,90 €",,https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1634ZV-247190-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-bianco-e1634zv-e1634zv-247190.html
Donna,Dècolletè,Décolleté donna slingback in pelle rosa glicine e1634zv,"169,90 €","152,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1634ZV-247753-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-rosa-glicine-e1634zv-e1634zv-247753.html
Donna,Dècolletè,Décolleté donna slingback in pelle harrods blu abyss e1634zv,Nan,,https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1634ZV-247704-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-harrods-blu-abyss-e1634zv-e1634zv-247704.html
Donna,Dècolletè,Décolleté donna slingback in pelle verde acid e1634zv,"169,90 €","152,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1634ZV-247705-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-verde-acid-e1634zv-e1634zv-247705.html
Donna,Dècolletè,Décolleté donna slingback in tessuto azzurro cielo e1634w,Nan,,https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1634ZV-247755-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-tessuto-azzurro-cielo-e1634w-e1634zv-247755.html
Donna,Dècolletè,Dècolletè donna con cinturino in pelle argento d156z,"129,90 €","116,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D156Z-244994-0000.jpg,https://www.melluso.com/it/decollete-donna-con-cinturino-in-pelle-argento-d156z-d156z-244994.html
Donna,Dècolletè,Décolleté donna con cinturino in pelle beige v308,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/V/3/V308Z-244820-0000.jpg,https://www.melluso.com/it/decollete-donna-con-cinturino-in-pelle-beige-v308-v308z-244820.html
Donna,Dècolletè,Décolleté donna con cinturino in pelle nude v308z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/V/3/V308Z-249356-0000.jpg,https://www.melluso.com/it/decollete-donna-con-cinturino-in-pelle-nude-v308z-v308z-249356.html
Donna,Dècolletè,Décolleté donna in camoscio beige x517z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/X/5/X517Z-243869-0000.jpg,https://www.melluso.com/it/decollete-donna-in-camoscio-beige-x517z-x517z-243869.html
Donna,Dècolletè,Décolleté donna in camoscio blu abyss x517z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/X/5/X517Z-243870-0000.jpg,https://www.melluso.com/it/decollete-donna-in-camoscio-blu-abyss-x517z-x517z-243870.html
Donna,Dècolletè,Décolleté donna in tessuto galassia nero x517z,"129,90 €","116,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/X/5/X517Z-244833-0000.jpg,https://www.melluso.com/it/decollete-donna-in-tessuto-galassia-nero-x517z-x517z-244833.html
Donna,Dècolletè,Décolleté donna in camoscio nero x517z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/X/5/X517Z-246305-0000.jpg,https://www.melluso.com/it/decollete-donna-in-camoscio-nero-x517z-x517z-246305.html
Donna,Dècolletè,Décolleté comodo con cinturino in pelle beige x519z,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/X/5/X519Z-247450-0000.jpg,https://www.melluso.com/it/decollete-comodo-con-cinturino-in-pelle-beige-x519z-x519z-247450.html
Donna,Dècolletè,Décolleté comodo con cinturino in camoscio blu abyss x519z,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/X/5/X519Z-247646-0000.jpg,https://www.melluso.com/it/decollete-comodo-con-cinturino-in-camoscio-blu-abyss-x519z-x519z-247646.html
Donna,Dècolletè,Décolleté comodo con cinturino in camoscio grigio x519z,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/X/5/X519Z-249630-0000.jpg,https://www.melluso.com/it/decollete-comodo-con-cinturino-in-camoscio-grigio-x519z-x519z-249630.html
Donna,Dècolletè,Décolleté donna in pelle nero d110z,"129,90 €","116,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D110Z-247339-0000.jpg,https://www.melluso.com/it/decollete-donna-in-pelle-nero-d110z-d110z-247339.html
Donna,Dècolletè,Décolleté slingback donna in pelle e nylon beige e1852,"159,90 €","127,92 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1852-248023-0000.jpg,https://www.melluso.com/it/decollete-slingback-donna-in-pelle-e-nylon-beige-e1852-e1852-248023.html
Donna,Dècolletè,Décolleté donna slingback con cinturino in pelle nero nude v701,"149,90 €","119,92 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/V/7/V701-244090-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-con-cinturino-in-pelle-nero-nude-v701-v701-244090.html
Donna,Dècolletè,Espadrillas donna in tessuto jeans 018206z,"79,90 €","63,92 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/0/1/018206Z-244310-0000.jpg,https://www.melluso.com/it/espadrillas-donna-in-tessuto-jeans-018206z-018206z-244310.html
Donna,Dècolletè,Espadrillas donna in tessuto verde 018206z,"79,90 €","63,92 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/0/1/018206Z-244311-0000.jpg,https://www.melluso.com/it/espadrillas-donna-in-tessuto-verde-018206z-018206z-244311.html
Donna,Dècolletè,Espadrillas donna in tessuto giallo 018206z,"79,90 €","63,92 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/0/1/018206Z-244312-0000.jpg,https://www.melluso.com/it/espadrillas-donna-in-tessuto-giallo-018206z-018206z-244312.html
Donna,Dècolletè,Décolleté donna slingback in pelle argento d192,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D192-245557-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-argento-d192-d192-245557.html
Donna,Dècolletè,Espadrillas donna in tessuto rosso 018206z,"79,90 €","63,92 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/0/1/018206Z-253167-0000.jpg,https://www.melluso.com/it/espadrillas-donna-in-tessuto-rosso-018206z-018206z-253167.html
Donna,Dècolletè,Espadrillas donna in tessuto blu 018206z,"79,90 €","63,92 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/0/1/018206Z-253168-0000.jpg,https://www.melluso.com/it/espadrillas-donna-in-tessuto-blu-018206z-018206z-253168.html
Donna,Dècolletè,Espadrillas donna in tessuto carne 018206z,"79,90 €","63,92 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/0/1/018206Z-253177-0000.jpg,https://www.melluso.com/it/espadrillas-donna-in-tessuto-carne-018206z-018206z-253177.html
Donna,Dècolletè,Décolleté donna slingback in pelle milk d193,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D193-245140-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-milk-d193-d193-245140.html
Donna,Dècolletè,Décolleté donna in pelle nude e1301z,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1301Z-249089-0000.jpg,https://www.melluso.com/it/decollete-donna-in-pelle-nude-e1301z-e1301z-249089.html
Donna,Dècolletè,Décolleté donna in camoscio blu abyss x516z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/X/5/X516Z-243866-0000.jpg,https://www.melluso.com/it/decollete-donna-in-camoscio-blu-abyss-x516z-x516z-243866.html
Donna,Dècolletè,Décolleté donna in camoscio platino x516z,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/X/5/X516Z-246739-0000.jpg,https://www.melluso.com/it/decollete-donna-in-camoscio-platino-x516z-x516z-246739.html
Donna,Dècolletè,Décolleté donna cinturino incrociato in tessuto rosa e1631zv,"159,90 €","143,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1631ZV-253831-0000.jpg,https://www.melluso.com/it/decollete-donna-cinturino-incrociato-in-tessuto-rosa-e1631zv-e1631zv-253831.html
Donna,Dècolletè,Décolleté donna slingback in pelle bianco d168zv,"149,90 €",,https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D168ZV-249127-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-bianco-d168zv-d168zv-249127.html
Donna,Dècolletè,Décolleté donna in tessuto galassia platino x517z,"129,90 €","116,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/X/5/X517Z-245915-0000.jpg,https://www.melluso.com/it/decollete-donna-in-tessuto-galassia-platino-x517z-x517z-245915.html
Donna,Dècolletè,Décolleté donna con cinturino in pelle nero v229,"139,90 €","125,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/V/2/V229-243971-0000.jpg,https://www.melluso.com/it/decollete-donna-con-cinturino-in-pelle-nero-v229-v229-243971.html
Donna,Dècolletè,Décolleté donna cinturino incrociato in pelle blu abyss e1631zv,"159,90 €","143,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1631ZV-247201-0000.jpg,https://www.melluso.com/it/decollete-donna-cinturino-incrociato-in-pelle-blu-abyss-e1631zv-e1631zv-247201.html
